# e nB nQ T p muB muS muQ 
0.0 0.06 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.06 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.07 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.14 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.15 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.16 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.17 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.18 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.19 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.2 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.21 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.22 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.23 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.24 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.25 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.26 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.27 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.28 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.29 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.3 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.31 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.32 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.33 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.34 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.35 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.36 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.37 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.38 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.39 0.0 0.0 0.0 0.0 0.0
0.0 0.07 0.4 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.08 -0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.01 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.02 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.03 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.04 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.05 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.06 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.07 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.08 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.09 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.1 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.11 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.12 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.13 0.0 0.0 0.0 0.0 0.0
0.0 0.08 0.14 0.0 0.0 0.0 0.0 0.0
